review_text;title;language;language_detected_context;language_detected_full;language_majority_lang;language_majority_percentage;review_text_preprocessed;razonamiento_corto;etiqueta;estado_etiquetado
We really enjoyed our informative tour, partly accomplished by horse and cart. Very good guide Jose who spoke great English. Lunch under the vines at the restaurant was stylish and good and we were able to sample some of the wine from the Vineyard;Excellent tour followed by delicious lunch;en;en;en;en;0.9494949073475476;We really enjoyed our informative tour, partly accomplished by horse and cart. Very good guide Jose who spoke great English. Lunch under the vines at the restaurant was stylish and good and we were able to sample some of the wine from the Vineyard;Step 1: tourists. Step 2: no. Step 3: no. The review is a descriptive compliment with no explicit requests for changes or improvements.;NON-SUGGESTION;ok
I just moved to Santiago and really wanted to learn and know more about the city, the culture and about history. Our tour guide, Franco was extremely professional, fun and knowledgable. I enjoyed my trip from the very first moment when it started until the last, when he said goodbye to us. The tour was perfectly organized, great stories, lots of information, and big-big fun. We made lots of stops, he recommended some street snacks, so even if you forget to have breakfast or bring food with you, it´s ok. We stopped even for lunch, where they arranged a special discounted meal option at a very nice restaurant for us. Just make sure you bring enough money with you, because Franco definitely deserves a big-big tip.;Must to do in Santiago;en;en;en;en;0.8948451353897329;I just moved to Santiago and really wanted to learn and know more about the city, the culture and about history. Our tour guide, Franco was extremely professional, fun and knowledgable. I enjoyed my trip from the very first moment when it started until the last, when he said goodbye to us. The tour was perfectly organized, great stories, lots of information, and big-big fun. We made lots of stops, he recommended some street snacks, so even if you forget to have breakfast or bring food with you, it´s ok. We stopped even for lunch, where they arranged a special discounted meal option at a very nice restaurant for us. Just make sure you bring enough money with you, because Franco definitely deserves a big-big tip.;Step 1: Tourist talking about personal experience. Step 2: No desire for change expressed. Step 3: No actionable request for management. NON-SUGGESTION;NON-SUGGESTION;ok
We were lucky enough to be the only 2 people booked for this 2-hour bike ride so Jenni was able to go at our pace. I had been a bit nervous of cycling amidst the Santiago traffic but needn't have worried - the route took us through a few quiet streets around Patio Bellavista but mostly through parks and alongside the river on dedicated cycle paths. It was great to have a guide to not only give you interesting information about the city but to show you the etiquette of crossing roads and pedestrian paths. The city has made a lot of effort to provide miles of cycle routes which interconnect safely. We had already spent a week in the city and seen a lot but the ride gave us access to places we would just not have found and provided a great way to see the Parques Metropolitano & Bicentenario. It was a great joy to be riding through beautiful green spaces with no responsibility to find the way home! The bikes were good, Jenni was warm and friendly and we had a great time. Highly recommended. Review of: Santiago Evening Bike Tour Hi Jo and Lyn! Thanks so much for the great review, we really appreciate you recommending us over here!! Great to hear you enjoyed the ride - it was lovely to meet you both! Wishing you all the best and hope to receive you again some time for another ride!;Great guided bike ride on Santiago cyclepaths;en;en;en;en;0.8852127536697705;We were lucky enough to be the only 2 people booked for this 2-hour bike ride so Jenni was able to go at our pace. I had been a bit nervous of cycling amidst the Santiago traffic but needn't have worried - the route took us through a few quiet streets around Patio Bellavista but mostly through parks and alongside the river on dedicated cycle paths. It was great to have a guide to not only give you interesting information about the city but to show you the etiquette of crossing roads and pedestrian paths. The city has made a lot of effort to provide miles of cycle routes which interconnect safely. We had already spent a week in the city and seen a lot but the ride gave us access to places we would just not have found and provided a great way to see the Parques Metropolitano & Bicentenario. It was a great joy to be riding through beautiful green spaces with no responsibility to find the way home! The bikes were good, Jenni was warm and friendly and we had a great time. Highly recommended. Review of: Santiago Evening Bike Tour Hi Jo and Lyn! Thanks so much for the great review, we really appreciate you recommending us over here!! Great to hear you enjoyed the ride - it was lovely to meet you both! Wishing you all the best and hope to receive you again some time for another ride!;Step 1: Tourist (not management). Step 2: No future gap expressed (descriptive praise). Step 3: No concrete actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
"Pros: small group van (4 couples) Beautiful volcano (Orsono) “Cheaper than Cruise ship” Cons: Weak Guide Not “All That” interesting Requested vegetarian empanada and only offered Beef to us vegetarians— ugh “NO Lunch for us”... starving by the end of 6 hour tour... with really no apology, even after pre confirming vegetarian meal in advance... Price just too high for what we received. RNelson (Austin, TX) Hello! Thanks for taking the time to write us! We are always looking to improve. The tour you took was $79 USD p/p for our 7-hour tour to Petrohue, Puerto Varas and Frutillar excursion with a maximum of 8 people in a van. Everyone that requests vegetarian empanadas beforehand gets them, I have doubled checked your e-mail and I am happy for you to resend any email where you requested a vegetarian empanada beforehand as I cannot see it. However, you did have the chance to buy anything you wanted at any stop, since there is food at every stop and minimum of 50 minutes to explore at each stop. Please elaborate as to what you mean by ""weak guide"" so that we may improve our services. Thanks again! Victoria Stein GV Tours";A Touch Disappointing!;en;en;en;en;0.855099079726104;"Pros: small group van (4 couples) Beautiful volcano (Orsono) “Cheaper than Cruise ship” Cons: Weak Guide Not “All That” interesting Requested vegetarian empanada and only offered Beef to us vegetarians— ugh “NO Lunch for us”... starving by the end of 6 hour tour... with really no apology, even after pre confirming vegetarian meal in advance... Price just too high for what we received. RNelson (Austin, TX) Hello! Thanks for taking the time to write us! We are always looking to improve. The tour you took was $79 USD p/p for our 7-hour tour to Petrohue, Puerto Varas and Frutillar excursion with a maximum of 8 people in a van. Everyone that requests vegetarian empanadas beforehand gets them, I have doubled checked your e-mail and I am happy for you to resend any email where you requested a vegetarian empanada beforehand as I cannot see it. However, you did have the chance to buy anything you wanted at any stop, since there is food at every stop and minimum of 50 minutes to explore at each stop. Please elaborate as to what you mean by ""weak guide"" so that we may improve our services. Thanks again! Victoria Stein GV Tours";Step 1: management. Step 2: future gap (explicit requests for vegetarian empanadas, better guides, and lower prices). Step 3: actionable (specific improvements requested). SUGGESTION;SUGGESTION;ok
la sebastiana is amazing place, beatufull sectors for pictures,The very nice and cordial people, quite clean;good city;en;en;en;en;0.8372096892475344;la sebastiana is amazing place, beatufull sectors for pictures,The very nice and cordial people, quite clean;The review describes the experience positively without addressing management or requesting changes, indicating a non-suggestion.;NON-SUGGESTION;ok
We booked our tours with ED, we closed 06/07/08 August 2024 , were super honest, wonderful tours, punctual , we returned to the hotel tired of so much to walk, can close tour of vcs with tranquility , galera is good people , driver and guide super friendly with the brazilian galera ! Note: one of the tours we won a picnic , very top congratulations Alfatur;Efficient and reliable agency!;en;en;en;en;0.7999788830734129;We booked our tours with ED, we closed 06/07/08 August 2024 , were super honest, wonderful tours, punctual , we returned to the hotel tired of so much to walk, can close tour of vcs with tranquility , galera is good people , driver and guide super friendly with the brazilian galera ! Note: one of the tours we won a picnic , very top congratulations Alfatur;Step 1: tourists. Step 2: no future gap (descriptive). Step 3: no actionable change. NON-SUGGESTION;NON-SUGGESTION;ok
The tour was fantastic and we learned a bit about Undurraga's connection to the Mapucho culture and how they support it with their TP brand. It would have been great had we been able to taste more premium wines but as close to Santiago, the tour is designed for maybe those newer to wines than those who are more vinofiles. Worth the trip and their gran reserva and icon wines are great - we bot those!;History and Wine;en;en;en;en;0.9281779440195256;The tour was fantastic and we learned a bit about Undurraga's connection to the Mapucho culture and how they support it with their TP brand. It would have been great had we been able to taste more premium wines but as close to Santiago, the tour is designed for maybe those newer to wines than those who are more vinofiles. Worth the trip and their gran reserva and icon wines are great - we bot those!;Step 1: Tourists (describing personal experience). Step 2: No future gap (desire for more wine is personal, not a service gap). Step 3: Not actionable (desire may not align with management's current offerings). NON-SUGGESTION;NON-SUGGESTION;ok
There is a bit of confusion in buying tickets - you need to be prepared to wait if there aren't enough people to make the trip. Also, you need to understand Spanish as we did not find any offer of English translation. The boat trip had lovely scenery, and the big ships in port, and the sea lions were just as interesting to the kids as the buoy. Was also a nice idea to have a (cheap) photo waiting for us when we returned to the pier.;A nice cruise around the port;en;en;en;en;0.9849622952832856;There is a bit of confusion in buying tickets - you need to be prepared to wait if there aren't enough people to make the trip. Also, you need to understand Spanish as we did not find any offer of English translation. The boat trip had lovely scenery, and the big ships in port, and the sea lions were just as interesting to the kids as the buoy. Was also a nice idea to have a (cheap) photo waiting for us when we returned to the pier.;;;parse_error
Cristian was an amazing guide and we had a wonderful city tour of Santiago! Very informative and fun!!! We would highly recommend this tour. Review of: Discover Santiago Half Day Guided Tour Included Local Snack This is a perfect chance to mingle with other tourist and enjoy learning about our capital city. We're glad you had a great time with Cristián. Thank you for your review.;Amazing tour of Santiago with Cristian!;en;en;en;en;0.8111005755490879;Cristian was an amazing guide and we had a wonderful city tour of Santiago! Very informative and fun!!! We would highly recommend this tour. Review of: Discover Santiago Half Day Guided Tour Included Local Snack This is a perfect chance to mingle with other tourist and enjoy learning about our capital city. We're glad you had a great time with Cristián. Thank you for your review.;Step 1: tourists. Step 2: no. Step 3: no. The review is a positive recommendation to other tourists, not a request to management for changes.;NON-SUGGESTION;ok
So, not wanting to be outdone by my brother who also did star gazing in San Pedro de Atacama, I had to do this too. I booked with Jorge, all very straight forward, you get all the information on what tours, prices, nights etc they will take place for you to choose. You pay once you get dropped back off at your hotel. The night itself… Jorge explains everything you need to know about the stars, basically like the Bill Bryson books “a short history on stars”. He made it fun and entertaining, asked questions to make sure you were listening (remember this part), then onto the telescopes! He had I think 9 or 10 pointed at different stars, planets and it was very much a wow factor, I am not an astronomer in any way or form but I loved this. It reminded me of just how much is unknown and out there. Very much worth the tour. Jorge’s family were there too and very much to my surprise there was food and drinks to be served near the end. The food were some hot and cold and drink very much the same… soup, tea etc and for those who like a little tipple at night … plenty to tempt you. Photos were taken afterwards of the sky as a group and individuals or whoever you came with. I would highly recommend him… oh, nearly forgot… for those who feel the cold, he had blankets on each chair and if you needed he also had heaters. It does get cold at night and as you are sitting and not moving around the cold sets in easily… wrap up well and enjoy!;What a night!;en;en;en;en;0.9726589709463866;So, not wanting to be outdone by my brother who also did star gazing in San Pedro de Atacama, I had to do this too. I booked with Jorge, all very straight forward, you get all the information on what tours, prices, nights etc they will take place for you to choose. You pay once you get dropped back off at your hotel. The night itself… Jorge explains everything you need to know about the stars, basically like the Bill Bryson books “a short history on stars”. He made it fun and entertaining, asked questions to make sure you were listening (remember this part), then onto the telescopes! He had I think 9 or 10 pointed at different stars, planets and it was very much a wow factor, I am not an astronomer in any way or form but I loved this. It reminded me of just how much is unknown and out there. Very much worth the tour. Jorge’s family were there too and very much to my surprise there was food and drinks to be served near the end. The food were some hot and cold and drink very much the same… soup, tea etc and for those who like a little tipple at night … plenty to tempt you. Photos were taken afterwards of the sky as a group and individuals or whoever you came with. I would highly recommend him… oh, nearly forgot… for those who feel the cold, he had blankets on each chair and if you needed he also had heaters. It does get cold at night and as you are sitting and not moving around the cold sets in easily… wrap up well and enjoy!;Step 1: Tourist (describing experience with Jorge). Step 2: No future gap (satisfaction with service). Step 3: No actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
